Load,bus,carrier,sign
AL,AL low voltage,electricity,-1.0
AT,AT low voltage,electricity,-1.0
BA,BA low voltage,electricity,-1.0
BE,BE low voltage,electricity,-1.0
BG,BG low voltage,electricity,-1.0
CH,CH low voltage,electricity,-1.0
CZ,CZ low voltage,electricity,-1.0
DE,DE low voltage,electricity,-1.0
DK,DK low voltage,electricity,-1.0
EE,EE low voltage,electricity,-1.0
ES,ES low voltage,electricity,-1.0
FI,FI low voltage,electricity,-1.0
FR,FR low voltage,electricity,-1.0
GB,GB low voltage,electricity,-1.0
GBI,GBI low voltage,electricity,-1.0
GR,GR low voltage,electricity,-1.0
HR,HR low voltage,electricity,-1.0
HU,HU low voltage,electricity,-1.0
IE,IE low voltage,electricity,-1.0
IT,IT low voltage,electricity,-1.0
LT,LT low voltage,electricity,-1.0
LU,LU low voltage,electricity,-1.0
LV,LV low voltage,electricity,-1.0
ME,ME low voltage,electricity,-1.0
MK,MK low voltage,electricity,-1.0
NL,NL low voltage,electricity,-1.0
NO,NO low voltage,electricity,-1.0
PL,PL low voltage,electricity,-1.0
PT,PT low voltage,electricity,-1.0
RO,RO low voltage,electricity,-1.0
RS,RS low voltage,electricity,-1.0
SE,SE low voltage,electricity,-1.0
SI,SI low voltage,electricity,-1.0
SK,SK low voltage,electricity,-1.0
XK,XK low voltage,electricity,-1.0
AL land transport EV,AL EV battery,land transport EV,-1.0
AT land transport EV,AT EV battery,land transport EV,-1.0
BA land transport EV,BA EV battery,land transport EV,-1.0
BE land transport EV,BE EV battery,land transport EV,-1.0
BG land transport EV,BG EV battery,land transport EV,-1.0
CH land transport EV,CH EV battery,land transport EV,-1.0
CZ land transport EV,CZ EV battery,land transport EV,-1.0
DE land transport EV,DE EV battery,land transport EV,-1.0
DK land transport EV,DK EV battery,land transport EV,-1.0
EE land transport EV,EE EV battery,land transport EV,-1.0
ES land transport EV,ES EV battery,land transport EV,-1.0
FI land transport EV,FI EV battery,land transport EV,-1.0
FR land transport EV,FR EV battery,land transport EV,-1.0
GB land transport EV,GB EV battery,land transport EV,-1.0
GBI land transport EV,GBI EV battery,land transport EV,-1.0
GR land transport EV,GR EV battery,land transport EV,-1.0
HR land transport EV,HR EV battery,land transport EV,-1.0
HU land transport EV,HU EV battery,land transport EV,-1.0
IE land transport EV,IE EV battery,land transport EV,-1.0
IT land transport EV,IT EV battery,land transport EV,-1.0
LT land transport EV,LT EV battery,land transport EV,-1.0
LU land transport EV,LU EV battery,land transport EV,-1.0
LV land transport EV,LV EV battery,land transport EV,-1.0
ME land transport EV,ME EV battery,land transport EV,-1.0
MK land transport EV,MK EV battery,land transport EV,-1.0
NL land transport EV,NL EV battery,land transport EV,-1.0
NO land transport EV,NO EV battery,land transport EV,-1.0
PL land transport EV,PL EV battery,land transport EV,-1.0
PT land transport EV,PT EV battery,land transport EV,-1.0
RO land transport EV,RO EV battery,land transport EV,-1.0
RS land transport EV,RS EV battery,land transport EV,-1.0
SE land transport EV,SE EV battery,land transport EV,-1.0
SI land transport EV,SI EV battery,land transport EV,-1.0
SK land transport EV,SK EV battery,land transport EV,-1.0
XK land transport EV,XK EV battery,land transport EV,-1.0
AL land transport fuel cell,AL H2,land transport fuel cell,-1.0
AT land transport fuel cell,AT H2,land transport fuel cell,-1.0
BA land transport fuel cell,BA H2,land transport fuel cell,-1.0
BE land transport fuel cell,BE H2,land transport fuel cell,-1.0
BG land transport fuel cell,BG H2,land transport fuel cell,-1.0
CH land transport fuel cell,CH H2,land transport fuel cell,-1.0
CZ land transport fuel cell,CZ H2,land transport fuel cell,-1.0
DE land transport fuel cell,DE H2,land transport fuel cell,-1.0
DK land transport fuel cell,DK H2,land transport fuel cell,-1.0
EE land transport fuel cell,EE H2,land transport fuel cell,-1.0
ES land transport fuel cell,ES H2,land transport fuel cell,-1.0
FI land transport fuel cell,FI H2,land transport fuel cell,-1.0
FR land transport fuel cell,FR H2,land transport fuel cell,-1.0
GB land transport fuel cell,GB H2,land transport fuel cell,-1.0
GBI land transport fuel cell,GBI H2,land transport fuel cell,-1.0
GR land transport fuel cell,GR H2,land transport fuel cell,-1.0
HR land transport fuel cell,HR H2,land transport fuel cell,-1.0
HU land transport fuel cell,HU H2,land transport fuel cell,-1.0
IE land transport fuel cell,IE H2,land transport fuel cell,-1.0
IT land transport fuel cell,IT H2,land transport fuel cell,-1.0
LT land transport fuel cell,LT H2,land transport fuel cell,-1.0
LU land transport fuel cell,LU H2,land transport fuel cell,-1.0
LV land transport fuel cell,LV H2,land transport fuel cell,-1.0
ME land transport fuel cell,ME H2,land transport fuel cell,-1.0
MK land transport fuel cell,MK H2,land transport fuel cell,-1.0
NL land transport fuel cell,NL H2,land transport fuel cell,-1.0
NO land transport fuel cell,NO H2,land transport fuel cell,-1.0
PL land transport fuel cell,PL H2,land transport fuel cell,-1.0
PT land transport fuel cell,PT H2,land transport fuel cell,-1.0
RO land transport fuel cell,RO H2,land transport fuel cell,-1.0
RS land transport fuel cell,RS H2,land transport fuel cell,-1.0
SE land transport fuel cell,SE H2,land transport fuel cell,-1.0
SI land transport fuel cell,SI H2,land transport fuel cell,-1.0
SK land transport fuel cell,SK H2,land transport fuel cell,-1.0
XK land transport fuel cell,XK H2,land transport fuel cell,-1.0
AL land transport oil,AL land transport oil,land transport oil,-1.0
AT land transport oil,AT land transport oil,land transport oil,-1.0
BA land transport oil,BA land transport oil,land transport oil,-1.0
BE land transport oil,BE land transport oil,land transport oil,-1.0
BG land transport oil,BG land transport oil,land transport oil,-1.0
CH land transport oil,CH land transport oil,land transport oil,-1.0
CZ land transport oil,CZ land transport oil,land transport oil,-1.0
DE land transport oil,DE land transport oil,land transport oil,-1.0
DK land transport oil,DK land transport oil,land transport oil,-1.0
EE land transport oil,EE land transport oil,land transport oil,-1.0
ES land transport oil,ES land transport oil,land transport oil,-1.0
FI land transport oil,FI land transport oil,land transport oil,-1.0
FR land transport oil,FR land transport oil,land transport oil,-1.0
GB land transport oil,GB land transport oil,land transport oil,-1.0
GBI land transport oil,GBI land transport oil,land transport oil,-1.0
GR land transport oil,GR land transport oil,land transport oil,-1.0
HR land transport oil,HR land transport oil,land transport oil,-1.0
HU land transport oil,HU land transport oil,land transport oil,-1.0
IE land transport oil,IE land transport oil,land transport oil,-1.0
IT land transport oil,IT land transport oil,land transport oil,-1.0
LT land transport oil,LT land transport oil,land transport oil,-1.0
LU land transport oil,LU land transport oil,land transport oil,-1.0
LV land transport oil,LV land transport oil,land transport oil,-1.0
ME land transport oil,ME land transport oil,land transport oil,-1.0
MK land transport oil,MK land transport oil,land transport oil,-1.0
NL land transport oil,NL land transport oil,land transport oil,-1.0
NO land transport oil,NO land transport oil,land transport oil,-1.0
PL land transport oil,PL land transport oil,land transport oil,-1.0
PT land transport oil,PT land transport oil,land transport oil,-1.0
RO land transport oil,RO land transport oil,land transport oil,-1.0
RS land transport oil,RS land transport oil,land transport oil,-1.0
SE land transport oil,SE land transport oil,land transport oil,-1.0
SI land transport oil,SI land transport oil,land transport oil,-1.0
SK land transport oil,SK land transport oil,land transport oil,-1.0
XK land transport oil,XK land transport oil,land transport oil,-1.0
AL urban central heat,AL urban central heat,urban central heat,-1.0
AT urban central heat,AT urban central heat,urban central heat,-1.0
BA urban central heat,BA urban central heat,urban central heat,-1.0
BE urban central heat,BE urban central heat,urban central heat,-1.0
BG urban central heat,BG urban central heat,urban central heat,-1.0
CH urban central heat,CH urban central heat,urban central heat,-1.0
CZ urban central heat,CZ urban central heat,urban central heat,-1.0
DE urban central heat,DE urban central heat,urban central heat,-1.0
DK urban central heat,DK urban central heat,urban central heat,-1.0
EE urban central heat,EE urban central heat,urban central heat,-1.0
ES urban central heat,ES urban central heat,urban central heat,-1.0
FI urban central heat,FI urban central heat,urban central heat,-1.0
FR urban central heat,FR urban central heat,urban central heat,-1.0
GB urban central heat,GB urban central heat,urban central heat,-1.0
GBI urban central heat,GBI urban central heat,urban central heat,-1.0
GR urban central heat,GR urban central heat,urban central heat,-1.0
HR urban central heat,HR urban central heat,urban central heat,-1.0
HU urban central heat,HU urban central heat,urban central heat,-1.0
IE urban central heat,IE urban central heat,urban central heat,-1.0
IT urban central heat,IT urban central heat,urban central heat,-1.0
LT urban central heat,LT urban central heat,urban central heat,-1.0
LU urban central heat,LU urban central heat,urban central heat,-1.0
LV urban central heat,LV urban central heat,urban central heat,-1.0
ME urban central heat,ME urban central heat,urban central heat,-1.0
MK urban central heat,MK urban central heat,urban central heat,-1.0
NL urban central heat,NL urban central heat,urban central heat,-1.0
NO urban central heat,NO urban central heat,urban central heat,-1.0
PL urban central heat,PL urban central heat,urban central heat,-1.0
PT urban central heat,PT urban central heat,urban central heat,-1.0
RO urban central heat,RO urban central heat,urban central heat,-1.0
RS urban central heat,RS urban central heat,urban central heat,-1.0
SE urban central heat,SE urban central heat,urban central heat,-1.0
SI urban central heat,SI urban central heat,urban central heat,-1.0
SK urban central heat,SK urban central heat,urban central heat,-1.0
XK urban central heat,XK urban central heat,urban central heat,-1.0
AL gas urban central heat,AL gas urban central heat,gas urban central heat,-1.0
AT gas urban central heat,AT gas urban central heat,gas urban central heat,-1.0
BA gas urban central heat,BA gas urban central heat,gas urban central heat,-1.0
BE gas urban central heat,BE gas urban central heat,gas urban central heat,-1.0
BG gas urban central heat,BG gas urban central heat,gas urban central heat,-1.0
CH gas urban central heat,CH gas urban central heat,gas urban central heat,-1.0
CZ gas urban central heat,CZ gas urban central heat,gas urban central heat,-1.0
DE gas urban central heat,DE gas urban central heat,gas urban central heat,-1.0
DK gas urban central heat,DK gas urban central heat,gas urban central heat,-1.0
EE gas urban central heat,EE gas urban central heat,gas urban central heat,-1.0
ES gas urban central heat,ES gas urban central heat,gas urban central heat,-1.0
FI gas urban central heat,FI gas urban central heat,gas urban central heat,-1.0
FR gas urban central heat,FR gas urban central heat,gas urban central heat,-1.0
GB gas urban central heat,GB gas urban central heat,gas urban central heat,-1.0
GBI gas urban central heat,GBI gas urban central heat,gas urban central heat,-1.0
GR gas urban central heat,GR gas urban central heat,gas urban central heat,-1.0
HR gas urban central heat,HR gas urban central heat,gas urban central heat,-1.0
HU gas urban central heat,HU gas urban central heat,gas urban central heat,-1.0
IE gas urban central heat,IE gas urban central heat,gas urban central heat,-1.0
IT gas urban central heat,IT gas urban central heat,gas urban central heat,-1.0
LT gas urban central heat,LT gas urban central heat,gas urban central heat,-1.0
LU gas urban central heat,LU gas urban central heat,gas urban central heat,-1.0
LV gas urban central heat,LV gas urban central heat,gas urban central heat,-1.0
ME gas urban central heat,ME gas urban central heat,gas urban central heat,-1.0
MK gas urban central heat,MK gas urban central heat,gas urban central heat,-1.0
NL gas urban central heat,NL gas urban central heat,gas urban central heat,-1.0
NO gas urban central heat,NO gas urban central heat,gas urban central heat,-1.0
PL gas urban central heat,PL gas urban central heat,gas urban central heat,-1.0
PT gas urban central heat,PT gas urban central heat,gas urban central heat,-1.0
RO gas urban central heat,RO gas urban central heat,gas urban central heat,-1.0
RS gas urban central heat,RS gas urban central heat,gas urban central heat,-1.0
SE gas urban central heat,SE gas urban central heat,gas urban central heat,-1.0
SI gas urban central heat,SI gas urban central heat,gas urban central heat,-1.0
SK gas urban central heat,SK gas urban central heat,gas urban central heat,-1.0
XK gas urban central heat,XK gas urban central heat,gas urban central heat,-1.0
AL electricity urban central heat,AL electricity urban central heat,electricity urban central heat,-1.0
AT electricity urban central heat,AT electricity urban central heat,electricity urban central heat,-1.0
BA electricity urban central heat,BA electricity urban central heat,electricity urban central heat,-1.0
BE electricity urban central heat,BE electricity urban central heat,electricity urban central heat,-1.0
BG electricity urban central heat,BG electricity urban central heat,electricity urban central heat,-1.0
CH electricity urban central heat,CH electricity urban central heat,electricity urban central heat,-1.0
CZ electricity urban central heat,CZ electricity urban central heat,electricity urban central heat,-1.0
DE electricity urban central heat,DE electricity urban central heat,electricity urban central heat,-1.0
DK electricity urban central heat,DK electricity urban central heat,electricity urban central heat,-1.0
EE electricity urban central heat,EE electricity urban central heat,electricity urban central heat,-1.0
ES electricity urban central heat,ES electricity urban central heat,electricity urban central heat,-1.0
FI electricity urban central heat,FI electricity urban central heat,electricity urban central heat,-1.0
FR electricity urban central heat,FR electricity urban central heat,electricity urban central heat,-1.0
GB electricity urban central heat,GB electricity urban central heat,electricity urban central heat,-1.0
GBI electricity urban central heat,GBI electricity urban central heat,electricity urban central heat,-1.0
GR electricity urban central heat,GR electricity urban central heat,electricity urban central heat,-1.0
HR electricity urban central heat,HR electricity urban central heat,electricity urban central heat,-1.0
HU electricity urban central heat,HU electricity urban central heat,electricity urban central heat,-1.0
IE electricity urban central heat,IE electricity urban central heat,electricity urban central heat,-1.0
IT electricity urban central heat,IT electricity urban central heat,electricity urban central heat,-1.0
LT electricity urban central heat,LT electricity urban central heat,electricity urban central heat,-1.0
