Generator,bus,p_nom_extendable,sign,carrier
FI urban central heat vent,FI urban central heat,True,1.0,urban central heat vent
FR urban central heat vent,FR urban central heat,True,1.0,urban central heat vent
GB urban central heat vent,GB urban central heat,True,1.0,urban central heat vent
GBI urban central heat vent,GBI urban central heat,True,1.0,urban central heat vent
GR urban central heat vent,GR urban central heat,True,1.0,urban central heat vent
HR urban central heat vent,HR urban central heat,True,1.0,urban central heat vent
HU urban central heat vent,HU urban central heat,True,1.0,urban central heat vent
IE urban central heat vent,IE urban central heat,True,1.0,urban central heat vent
IT urban central heat vent,IT urban central heat,True,1.0,urban central heat vent
LT urban central heat vent,LT urban central heat,True,1.0,urban central heat vent
LU urban central heat vent,LU urban central heat,True,1.0,urban central heat vent
LV urban central heat vent,LV urban central heat,True,1.0,urban central heat vent
ME urban central heat vent,ME urban central heat,True,1.0,urban central heat vent
MK urban central heat vent,MK urban central heat,True,1.0,urban central heat vent
NL urban central heat vent,NL urban central heat,True,1.0,urban central heat vent
NO urban central heat vent,NO urban central heat,True,1.0,urban central heat vent
PL urban central heat vent,PL urban central heat,True,1.0,urban central heat vent
PT urban central heat vent,PT urban central heat,True,1.0,urban central heat vent
RO urban central heat vent,RO urban central heat,True,1.0,urban central heat vent
RS urban central heat vent,RS urban central heat,True,1.0,urban central heat vent
SE urban central heat vent,SE urban central heat,True,1.0,urban central heat vent
SI urban central heat vent,SI urban central heat,True,1.0,urban central heat vent
SK urban central heat vent,SK urban central heat,True,1.0,urban central heat vent
XK urban central heat vent,XK urban central heat,True,1.0,urban central heat vent
AL urban central solar thermal collector,AL urban central heat,True,1.0,urban central solar thermal
AT urban central solar thermal collector,AT urban central heat,True,1.0,urban central solar thermal
BA urban central solar thermal collector,BA urban central heat,True,1.0,urban central solar thermal
BE urban central solar thermal collector,BE urban central heat,True,1.0,urban central solar thermal
BG urban central solar thermal collector,BG urban central heat,True,1.0,urban central solar thermal
CH urban central solar thermal collector,CH urban central heat,True,1.0,urban central solar thermal
CZ urban central solar thermal collector,CZ urban central heat,True,1.0,urban central solar thermal
DE urban central solar thermal collector,DE urban central heat,True,1.0,urban central solar thermal
DK urban central solar thermal collector,DK urban central heat,True,1.0,urban central solar thermal
EE urban central solar thermal collector,EE urban central heat,True,1.0,urban central solar thermal
ES urban central solar thermal collector,ES urban central heat,True,1.0,urban central solar thermal
FI urban central solar thermal collector,FI urban central heat,True,1.0,urban central solar thermal
FR urban central solar thermal collector,FR urban central heat,True,1.0,urban central solar thermal
GB urban central solar thermal collector,GB urban central heat,True,1.0,urban central solar thermal
GBI urban central solar thermal collector,GBI urban central heat,True,1.0,urban central solar thermal
GR urban central solar thermal collector,GR urban central heat,True,1.0,urban central solar thermal
HR urban central solar thermal collector,HR urban central heat,True,1.0,urban central solar thermal
HU urban central solar thermal collector,HU urban central heat,True,1.0,urban central solar thermal
IE urban central solar thermal collector,IE urban central heat,True,1.0,urban central solar thermal
