Store,bus,carrier,e_nom_extendable,sign
DE co2 sequestered,DE co2 sequestered,co2 sequestered,True,1.0
DK co2 sequestered,DK co2 sequestered,co2 sequestered,True,1.0
EE co2 sequestered,EE co2 sequestered,co2 sequestered,True,1.0
ES co2 sequestered,ES co2 sequestered,co2 sequestered,True,1.0
FI co2 sequestered,FI co2 sequestered,co2 sequestered,True,1.0
FR co2 sequestered,FR co2 sequestered,co2 sequestered,True,1.0
GB co2 sequestered,GB co2 sequestered,co2 sequestered,True,1.0
GBI co2 sequestered,GBI co2 sequestered,co2 sequestered,True,1.0
GR co2 sequestered,GR co2 sequestered,co2 sequestered,True,1.0
HR co2 sequestered,HR co2 sequestered,co2 sequestered,True,1.0
HU co2 sequestered,HU co2 sequestered,co2 sequestered,True,1.0
IE co2 sequestered,IE co2 sequestered,co2 sequestered,True,1.0
IT co2 sequestered,IT co2 sequestered,co2 sequestered,True,1.0
LT co2 sequestered,LT co2 sequestered,co2 sequestered,True,1.0
LU co2 sequestered,LU co2 sequestered,co2 sequestered,True,1.0
LV co2 sequestered,LV co2 sequestered,co2 sequestered,True,1.0
ME co2 sequestered,ME co2 sequestered,co2 sequestered,True,1.0
MK co2 sequestered,MK co2 sequestered,co2 sequestered,True,1.0
NL co2 sequestered,NL co2 sequestered,co2 sequestered,True,1.0
NO co2 sequestered,NO co2 sequestered,co2 sequestered,True,1.0
PL co2 sequestered,PL co2 sequestered,co2 sequestered,True,1.0
PT co2 sequestered,PT co2 sequestered,co2 sequestered,True,1.0
RO co2 sequestered,RO co2 sequestered,co2 sequestered,True,1.0
RS co2 sequestered,RS co2 sequestered,co2 sequestered,True,1.0
SE co2 sequestered,SE co2 sequestered,co2 sequestered,True,1.0
SI co2 sequestered,SI co2 sequestered,co2 sequestered,True,1.0
SK co2 sequestered,SK co2 sequestered,co2 sequestered,True,1.0
XK co2 sequestered,XK co2 sequestered,co2 sequestered,True,1.0
AL gas Store,AL gas,gas,True,1.0
AT gas Store,AT gas,gas,True,1.0
BA gas Store,BA gas,gas,True,1.0
BE gas Store,BE gas,gas,True,1.0
BG gas Store,BG gas,gas,True,1.0
CH gas Store,CH gas,gas,True,1.0
CZ gas Store,CZ gas,gas,True,1.0
DE gas Store,DE gas,gas,True,1.0
DK gas Store,DK gas,gas,True,1.0
EE gas Store,EE gas,gas,True,1.0
ES gas Store,ES gas,gas,True,1.0
FI gas Store,FI gas,gas,True,1.0
FR gas Store,FR gas,gas,True,1.0
GB gas Store,GB gas,gas,True,1.0
GBI gas Store,GBI gas,gas,True,1.0
GR gas Store,GR gas,gas,True,1.0
HR gas Store,HR gas,gas,True,1.0
HU gas Store,HU gas,gas,True,1.0
IE gas Store,IE gas,gas,True,1.0
IT gas Store,IT gas,gas,True,1.0
LT gas Store,LT gas,gas,True,1.0
LU gas Store,LU gas,gas,True,1.0
LV gas Store,LV gas,gas,True,1.0
ME gas Store,ME gas,gas,True,1.0
MK gas Store,MK gas,gas,True,1.0
NL gas Store,NL gas,gas,True,1.0
NO gas Store,NO gas,gas,True,1.0
PL gas Store,PL gas,gas,True,1.0
PT gas Store,PT gas,gas,True,1.0
RO gas Store,RO gas,gas,True,1.0
RS gas Store,RS gas,gas,True,1.0
SE gas Store,SE gas,gas,True,1.0
SI gas Store,SI gas,gas,True,1.0
SK gas Store,SK gas,gas,True,1.0
XK gas Store,XK gas,gas,True,1.0
AL H2 Store,AL H2,H2 Store,True,1.0
BA H2 Store,BA H2,H2 Store,True,1.0
DE H2 Store,DE H2,H2 Store,True,1.0
DK H2 Store,DK H2,H2 Store,True,1.0
ES H2 Store,ES H2,H2 Store,True,1.0
FR H2 Store,FR H2,H2 Store,True,1.0
GB H2 Store,GB H2,H2 Store,True,1.0
GR H2 Store,GR H2,H2 Store,True,1.0
NL H2 Store,NL H2,H2 Store,True,1.0
PL H2 Store,PL H2,H2 Store,True,1.0
PT H2 Store,PT H2,H2 Store,True,1.0
RO H2 Store,RO H2,H2 Store,True,1.0
AT H2 Store,AT H2,H2 Store,True,1.0
BE H2 Store,BE H2,H2 Store,True,1.0
BG H2 Store,BG H2,H2 Store,True,1.0
CH H2 Store,CH H2,H2 Store,True,1.0
CZ H2 Store,CZ H2,H2 Store,True,1.0
EE H2 Store,EE H2,H2 Store,True,1.0
FI H2 Store,FI H2,H2 Store,True,1.0
GBI H2 Store,GBI H2,H2 Store,True,1.0
HR H2 Store,HR H2,H2 Store,True,1.0
HU H2 Store,HU H2,H2 Store,True,1.0
IE H2 Store,IE H2,H2 Store,True,1.0
IT H2 Store,IT H2,H2 Store,True,1.0
LT H2 Store,LT H2,H2 Store,True,1.0
LU H2 Store,LU H2,H2 Store,True,1.0
LV H2 Store,LV H2,H2 Store,True,1.0
ME H2 Store,ME H2,H2 Store,True,1.0
MK H2 Store,MK H2,H2 Store,True,1.0
NO H2 Store,NO H2,H2 Store,True,1.0
RS H2 Store,RS H2,H2 Store,True,1.0
SE H2 Store,SE H2,H2 Store,True,1.0
SI H2 Store,SI H2,H2 Store,True,1.0
SK H2 Store,SK H2,H2 Store,True,1.0
XK H2 Store,XK H2,H2 Store,True,1.0
AL battery,AL battery,battery,True,1.0
AT battery,AT battery,battery,True,1.0
BA battery,BA battery,battery,True,1.0
BE battery,BE battery,battery,True,1.0
BG battery,BG battery,battery,True,1.0
CH battery,CH battery,battery,True,1.0
CZ battery,CZ battery,battery,True,1.0
DE battery,DE battery,battery,True,1.0
DK battery,DK battery,battery,True,1.0
EE battery,EE battery,battery,True,1.0
ES battery,ES battery,battery,True,1.0
FI battery,FI battery,battery,True,1.0
FR battery,FR battery,battery,True,1.0
GB battery,GB battery,battery,True,1.0
GBI battery,GBI battery,battery,True,1.0
GR battery,GR battery,battery,True,1.0
HR battery,HR battery,battery,True,1.0
HU battery,HU battery,battery,True,1.0
IE battery,IE battery,battery,True,1.0
IT battery,IT battery,battery,True,1.0
LT battery,LT battery,battery,True,1.0
LU battery,LU battery,battery,True,1.0
LV battery,LV battery,battery,True,1.0
ME battery,ME battery,battery,True,1.0
MK battery,MK battery,battery,True,1.0
NL battery,NL battery,battery,True,1.0
NO battery,NO battery,battery,True,1.0
PL battery,PL battery,battery,True,1.0
PT battery,PT battery,battery,True,1.0
RO battery,RO battery,battery,True,1.0
RS battery,RS battery,battery,True,1.0
SE battery,SE battery,battery,True,1.0
SI battery,SI battery,battery,True,1.0
SK battery,SK battery,battery,True,1.0
XK battery,XK battery,battery,True,1.0
AL EV battery,AL EV battery,EV battery,False,1.0
AT EV battery,AT EV battery,EV battery,False,1.0
BA EV battery,BA EV battery,EV battery,False,1.0
BE EV battery,BE EV battery,EV battery,False,1.0
BG EV battery,BG EV battery,EV battery,False,1.0
CH EV battery,CH EV battery,EV battery,False,1.0
CZ EV battery,CZ EV battery,EV battery,False,1.0
DE EV battery,DE EV battery,EV battery,False,1.0
DK EV battery,DK EV battery,EV battery,False,1.0
EE EV battery,EE EV battery,EV battery,False,1.0
ES EV battery,ES EV battery,EV battery,False,1.0
FI EV battery,FI EV battery,EV battery,False,1.0
FR EV battery,FR EV battery,EV battery,False,1.0
GB EV battery,GB EV battery,EV battery,False,1.0
GBI EV battery,GBI EV battery,EV battery,False,1.0
GR EV battery,GR EV battery,EV battery,False,1.0
HR EV battery,HR EV battery,EV battery,False,1.0
HU EV battery,HU EV battery,EV battery,False,1.0
IE EV battery,IE EV battery,EV battery,False,1.0
IT EV battery,IT EV battery,EV battery,False,1.0
LT EV battery,LT EV battery,EV battery,False,1.0
LU EV battery,LU EV battery,EV battery,False,1.0
LV EV battery,LV EV battery,EV battery,False,1.0
ME EV battery,ME EV battery,EV battery,False,1.0
MK EV battery,MK EV battery,EV battery,False,1.0
NL EV battery,NL EV battery,EV battery,False,1.0
NO EV battery,NO EV battery,EV battery,False,1.0
PL EV battery,PL EV battery,EV battery,False,1.0
PT EV battery,PT EV battery,EV battery,False,1.0
RO EV battery,RO EV battery,EV battery,False,1.0
RS EV battery,RS EV battery,EV battery,False,1.0
