Link,bus0,bus1,carrier,p_nom_extendable,bus4,bus3,bus2
SE H2 Fuel Cell,SE H2,SE,H2 Fuel Cell,True,,,SE urban central heat
SI H2 Fuel Cell,SI H2,SI,H2 Fuel Cell,True,,,SI urban central heat
SK H2 Fuel Cell,SK H2,SK,H2 Fuel Cell,True,,,SK urban central heat
XK H2 Fuel Cell,XK H2,XK,H2 Fuel Cell,True,,,XK urban central heat
AL H2 turbine,AL H2,AL,H2 turbine,True,,,
AT H2 turbine,AT H2,AT,H2 turbine,True,,,
BA H2 turbine,BA H2,BA,H2 turbine,True,,,
BE H2 turbine,BE H2,BE,H2 turbine,True,,,
BG H2 turbine,BG H2,BG,H2 turbine,True,,,
CH H2 turbine,CH H2,CH,H2 turbine,True,,,
CZ H2 turbine,CZ H2,CZ,H2 turbine,True,,,
DE H2 turbine,DE H2,DE,H2 turbine,True,,,
DK H2 turbine,DK H2,DK,H2 turbine,True,,,
EE H2 turbine,EE H2,EE,H2 turbine,True,,,
ES H2 turbine,ES H2,ES,H2 turbine,True,,,
FI H2 turbine,FI H2,FI,H2 turbine,True,,,
FR H2 turbine,FR H2,FR,H2 turbine,True,,,
GB H2 turbine,GB H2,GB,H2 turbine,True,,,
GBI H2 turbine,GBI H2,GBI,H2 turbine,True,,,
GR H2 turbine,GR H2,GR,H2 turbine,True,,,
HR H2 turbine,HR H2,HR,H2 turbine,True,,,
HU H2 turbine,HU H2,HU,H2 turbine,True,,,
IE H2 turbine,IE H2,IE,H2 turbine,True,,,
IT H2 turbine,IT H2,IT,H2 turbine,True,,,
LT H2 turbine,LT H2,LT,H2 turbine,True,,,
LU H2 turbine,LU H2,LU,H2 turbine,True,,,
LV H2 turbine,LV H2,LV,H2 turbine,True,,,
ME H2 turbine,ME H2,ME,H2 turbine,True,,,
MK H2 turbine,MK H2,MK,H2 turbine,True,,,
NL H2 turbine,NL H2,NL,H2 turbine,True,,,
NO H2 turbine,NO H2,NO,H2 turbine,True,,,
